word_norm,word_original,num_entries,num_definitions
run,Run,71,71
set,Set,59,59
light,Light,47,47
cast,Cast,45,45
round,Round,45,45
line,Line,44,44
strike,Strike,44,44
rise,Rise,42,42
fall,Fall,41,41
point,Point,41,41
lay,Lay,40,40
touch,Touch,40,40
base,Base,39,39
pass,Pass,39,39
turn,Turn,38,38
break,Break,37,37
back,Back,36,36
draw,Draw,36,36
roll,Roll,36,36
square,Square,36,36
bear,Bear,35,35
low,Low,35,35
slip,Slip,35,35
stand,Stand,35,35
charge,Charge,34,34
close,Close,34,34
stock,Stock,34,34
cut,Cut,33,33
jack,Jack,33,33
right,Right,33,33
cross,Cross,31,31
draught,Draught,31,31
return,Return,31,31
drop,Drop,30,30
flat,Flat,30,30
fly,Fly,30,30
spring,Spring,30,30
table,Table,30,30
head,Head,29,29
sound,Sound,29,29
wash,Wash,29,29
blow,Blow,28,28
crown,Crown,28,28
drift,Drift,28,28
beat,Beat,27,27
face,Face,27,27
keep,Keep,27,27
note,Note,27,27
pack,Pack,27,27
scale,Scale,27,27
sharp,Sharp,27,27
clear,Clear,26,26
lead,Lead,26,26
prick,Prick,26,26
range,Range,26,26
swell,Swell,26,26
bolt,Bolt,25,25
call,Call,25,25
grain,Grain,25,25
hold,Hold,25,25
measure,Measure,25,25
rack,Rack,25,25
ring,Ring,25,25
settle,Settle,25,25
shoot,Shoot,25,25
slide,Slide,25,25
stay,Stay,25,25
sweep,Sweep,25,25
take,Take,25,25
work,Work,25,25
bank,Bank,24,24
bar,Bar,24,24
double,Double,24,24
figure,Figure,24,24
form,Form,24,24
free,Free,24,24
hand,Hand,24,24
list,List,24,24
mark,Mark,24,24
open,Open,24,24
pitch,Pitch,24,24
play,Play,24,24
rest,Rest,24,24
throw,Throw,24,24
tongue,Tongue,24,24
wind,Wind,24,24
wing,Wing,24,24
answer,Answer,23,23
bow,Bow,23,23
but,But,23,23
catch,Catch,23,23
ground,Ground,23,23
lap,Lap,23,23
on,On,23,23
post,Post,23,23
present,Present,23,23
prime,Prime,23,23
sign,Sign,23,23
snap,Snap,23,23
traverse,Traverse,23,23
twist,Twist,23,23
weak,Weak,23,23
whip,Whip,23,23
cock,Cock,22,22
discharge,Discharge,22,22
down,Down,22,22
go,Go,22,22
horn,Horn,22,22
lift,Lift,22,22
make,Make,22,22
order,Order,22,22
press,Press,22,22
quarter,Quarter,22,22
reach,Reach,22,22
stamp,Stamp,22,22
stick,Stick,22,22
still,Still,22,22
stroke,Stroke,22,22
top,Top,22,22
train,Train,22,22
well,Well,22,22
balance,Balance,21,21
bed,Bed,21,21
cap,Cap,21,21
chop,Chop,21,21
crack,Crack,21,21
feed,Feed,21,21
fine,Fine,21,21
fire,Fire,21,21
force,Force,21,21
frame,Frame,21,21
issue,Issue,21,21
knot,Knot,21,21
level,Level,21,21
part,Part,21,21
rule,Rule,21,21
serve,Serve,21,21
shell,Shell,21,21
short,Short,21,21
spur,Spur,21,21
strain,Strain,21,21
air,Air,20,20
band,Band,20,20
bob,Bob,20,20
box,Box,20,20
cant,Cant,20,20
check,Check,20,20
dead,Dead,20,20
drag,Drag,20,20
element,Element,20,20
float,Float,20,20
flush,Flush,20,20
fret,Fret,20,20
give,Give,20,20
guard,Guard,20,20
hard,Hard,20,20
pick,Pick,20,20
raise,Raise,20,20
read,Read,20,20
report,Report,20,20
split,Split,20,20
step,Step,20,20
stop,Stop,20,20
strong,Strong,20,20
tender,Tender,20,20
warp,Warp,20,20
web,Web,20,20
bore,Bore,19,19
bound,Bound,19,19
eye,Eye,19,19
fair,Fair,19,19
fit,Fit,19,19
hang,Hang,19,19
high,High,19,19
hood,Hood,19,19
house,House,19,19
match,Match,19,19
mouth,Mouth,19,19
over,Over,19,19
pad,Pad,19,19
pin,Pin,19,19
practice,Practice,19,19
put,Put,19,19
rough,Rough,19,19
simple,Simple,19,19
soft,Soft,19,19
spare,Spare,19,19
spread,Spread,19,19
state,State,19,19
subject,Subject,19,19
trip,Trip,19,19
trust,Trust,19,19
address,Address,18,18
advance,Advance,18,18
arm,Arm,18,18
bill,Bill,18,18
bind,Bind,18,18
bite,Bite,18,18
blank,Blank,18,18
bottom,Bottom,18,18
brace,Brace,18,18
burr,Burr,18,18
course,Course,18,18
cry,Cry,18,18
drill,Drill,18,18
drive,Drive,18,18
even,Even,18,18
foot,Foot,18,18
grace,Grace,18,18
hack,Hack,18,18
jump,Jump,18,18
long,Long,18,18
mean,Mean,18,18
mill,Mill,18,18
natural,Natural,18,18
pipe,Pipe,18,18
plate,Plate,18,18
poll,Poll,18,18
race,Race,18,18
rank,Rank,18,18
regard,Regard,18,18
register,Register,18,18
root,Root,18,18
salt,Salt,18,18
size,Size,18,18
spirit,Spirit,18,18
station,Station,18,18
stuff,Stuff,18,18
swallow,Swallow,18,18
tail,Tail,18,18
taste,Taste,18,18
tread,Tread,18,18
ward,Ward,18,18
worm,Worm,18,18
yoke,Yoke,18,18
bay,Bay,17,17
better,Better,17,17
board,Board,17,17
broach,Broach,17,17
comb,Comb,17,17
court,Court,17,17
cover,Cover,17,17
dash,Dash,17,17
do,Do,17,17
drum,Drum,17,17
fast,Fast,17,17
feather,Feather,17,17
flash,Flash,17,17
flourish,Flourish,17,17
heat,Heat,17,17
heel,Heel,17,17
live,Live,17,17
loose,Loose,17,17
mould,Mould,17,17
plain,Plain,17,17
print,Print,17,17
puff,Puff,17,17
rake,Rake,17,17
reverse,Reverse,17,17
screw,Screw,17,17
shaft,Shaft,17,17
side,Side,17,17
single,Single,17,17
stall,Stall,17,17
start,Start,17,17
stem,Stem,17,17
string,String,17,17
strip,Strip,17,17
sucker,Sucker,17,17
term,Term,17,17
wheel,Wheel,17,17
abstract,Abstract,16,16
act,Act,16,16
bail,Bail,16,16
bend,Bend,16,16
blind,Blind,16,16
block,Block,16,16
bolster,Bolster,16,16
brake,Brake,16,16
burn,Burn,16,16
clap,Clap,16,16
cob,Cob,16,16
counter,Counter,16,16
cradle,Cradle,16,16
crib,Crib,16,16
die,Die,16,16
dip,Dip,16,16
file,File,16,16
flag,Flag,16,16
flow,Flow,16,16
foul,Foul,16,16
good,Good,16,16
horse,Horse,16,16
hum,Hum,16,16
joint,Joint,16,16
key,Key,16,16
labor,Labor,16,16
lock,Lock,16,16
lodge,Lodge,16,16
main,Main,16,16
pan,Pan,16,16
pearl,Pearl,16,16
pit,Pit,16,16
plant,Plant,16,16
power,Power,16,16
pull,Pull,16,16
purchase,Purchase,16,16
quarrel,Quarrel,16,16
rate,Rate,16,16
ray,Ray,16,16
render,Render,16,16
resolve,Resolve,16,16
rib,Rib,16,16
rub,Rub,16,16
ruff,Ruff,16,16
runner,Runner,16,16
score,Score,16,16
shadow,Shadow,16,16
smooth,Smooth,16,16
sponge,Sponge,16,16
stone,Stone,16,16
stretch,Stretch,16,16
temper,Temper,16,16
time,Time,16,16
tone,Tone,16,16
trail,Trail,16,16
walk,Walk,16,16
way,Way,16,16
accent,Accent,15,15
beam,Beam,15,15
beard,Beard,15,15
bearing,Bearing,15,15
boot,Boot,15,15
carry,Carry,15,15
challenge,Challenge,15,15
change,Change,15,15
chuck,Chuck,15,15
couch,Couch,15,15
delicate,Delicate,15,15
distance,Distance,15,15
divide,Divide,15,15
divine,Divine,15,15
division,Division,15,15
enter,Enter,15,15
fat,Fat,15,15
gather,Gather,15,15
gripe,Gripe,15,15
hatch,Hatch,15,15
heavy,Heavy,15,15
land,Land,15,15
last,Last,15,15
like,Like,15,15
look,Look,15,15
man,Man,15,15
miss,Miss,15,15
narrow,Narrow,15,15
out,Out,15,15
pace,Pace,15,15
parallel,Parallel,15,15
positive,Positive,15,15
raw,Raw,15,15
review,Review,15,15
ruffle,Ruffle,15,15
season,Season,15,15
shade,Shade,15,15
sight,Sight,15,15
sink,Sink,15,15
sit,Sit,15,15
smart,Smart,15,15
smoke,Smoke,15,15
spell,Spell,15,15
spill,Spill,15,15
sport,Sport,15,15
staple,Staple,15,15
stoop,Stoop,15,15
sweet,Sweet,15,15
tap,Tap,15,15
thick,Thick,15,15
trap,Trap,15,15
try,Try,15,15
use,Use,15,15
vent,Vent,15,15
verge,Verge,15,15
wave,Wave,15,15
account,Account,14,14
after,After,14,14
appeal,Appeal,14,14
average,Average,14,14
balk,Balk,14,14
barb,Barb,14,14
black,Black,14,14
blood,Blood,14,14
body,Body,14,14
breed,Breed,14,14
buck,Buck,14,14
chamber,Chamber,14,14
chase,Chase,14,14
circle,Circle,14,14
cold,Cold,14,14
company,Company,14,14
compass,Compass,14,14
crop,Crop,14,14
fish,Fish,14,14
front,Front,14,14
gauge,Gauge,14,14
gear,Gear,14,14
green,Green,14,14
hit,Hit,14,14
honor,Honor,14,14
iron,Iron,14,14
job,Job,14,14
law,Law,14,14
life,Life,14,14
love,Love,14,14
mail,Mail,14,14
mask,Mask,14,14
mount,Mount,14,14
mute,Mute,14,14
near,Near,14,14
negative,Negative,14,14
pile,Pile,14,14
place,Place,14,14
pot,Pot,14,14
principal,Principal,14,14
rattle,Rattle,14,14
record,Record,14,14
sail,Sail,14,14
seal,Seal,14,14
second,Second,14,14
shank,Shank,14,14
shed,Shed,14,14
shock,Shock,14,14
shoe,Shoe,14,14
show,Show,14,14
silver,Silver,14,14
smack,Smack,14,14
sort,Sort,14,14
stale,Stale,14,14
stalk,Stalk,14,14
standard,Standard,14,14
style,Style,14,14
suit,Suit,14,14
swing,Swing,14,14
tack,Tack,14,14
tie,Tie,14,14
trade,Trade,14,14
trunk,Trunk,14,14
voice,Voice,14,14
warrant,Warrant,14,14
waste,Waste,14,14
watch,Watch,14,14
wear,Wear,14,14
will,Will,14,14
action,Action,13,13
age,Age,13,13
as,As,13,13
associate,Associate,13,13
ball,Ball,13,13
bate,Bate,13,13
bent,Bent,13,13
blast,Blast,13,13
bloom,Bloom,13,13
blot,Blot,13,13
bond,Bond,13,13
bonnet,Bonnet,13,13
boom,Boom,13,13
bounce,Bounce,13,13
bowl,Bowl,13,13
breathe,Breathe,13,13
broad,Broad,13,13
brush,Brush,13,13
burden,Burden,13,13
case,Case,13,13
charm,Charm,13,13
chill,Chill,13,13
command,Command,13,13
common,Common,13,13
conduct,Conduct,13,13
contract,Contract,13,13
cope,Cope,13,13
cure,Cure,13,13
deal,Deal,13,13
digest,Digest,13,13
discipline,Discipline,13,13
dress,Dress,13,13
dry,Dry,13,13
earth,Earth,13,13
envy,Envy,13,13
erect,Erect,13,13
express,Express,13,13
fail,Fail,13,13
fan,Fan,13,13
fancy,Fancy,13,13
favor,Favor,13,13
fell,Fell,13,13
field,Field,13,13
fillet,Fillet,13,13
fleet,Fleet,13,13
flesh,Flesh,13,13
flower,Flower,13,13
fold,Fold,13,13
for,For,13,13
frank,Frank,13,13
full,Full,13,13
fur,Fur,13,13
game,Game,13,13
get,Get,13,13
grave,Grave,13,13
have,have,13,13
hoop,Hoop,13,13
in,In,13,13
inversion,Inversion,13,13
judge,Judge,13,13
lag,Lag,13,13
leader,Leader,13,13
leave,Leave,13,13
livery,Livery,13,13
mad,Mad,13,13
mantle,Mantle,13,13
matter,Matter,13,13
moderate,Moderate,13,13
more,More,13,13
motion,Motion,13,13
move,Move,13,13
number,Number,13,13
of,Of,13,13
pale,Pale,13,13
parting,Parting,13,13
piece,Piece,13,13
poor,Poor,13,13
push,Push,13,13
radical,Radical,13,13
rail,Rail,13,13
ride,Ride,13,13
roar,Roar,13,13
say,Say,13,13
seat,Seat,13,13
service,Service,13,13
settlement,Settlement,13,13
shake,Shake,13,13
shave,Shave,13,13
sheet,Sheet,13,13
shift,Shift,13,13
shut,Shut,13,13
skip,Skip,13,13
slacken,Slacken,13,13
sole,Sole,13,13
solid,Solid,13,13
speed,Speed,13,13
stage,Stage,13,13
strait,Strait,13,13
study,Study,13,13
stump,Stump,13,13
sublime,Sublime,13,13
support,Support,13,13
suspension,Suspension,13,13
sway,Sway,13,13
sweat,Sweat,13,13
tick,Tick,13,13
tilt,Tilt,13,13
tip,Tip,13,13
to,To,13,13
toll,Toll,13,13
treat,Treat,13,13
trim,Trim,13,13
troll,Troll,13,13
truck,Truck,13,13
twin,Twin,13,13
wake,Wake,13,13
warm,Warm,13,13
water,Water,13,13
white,White,13,13
wide,Wide,13,13
wrong,Wrong,13,13
about,About,12,12
anchor,Anchor,12,12
ancient,Ancient,12,12
apply,Apply,12,12
article,Article,12,12
assize,Assize,12,12
attaint,Attaint,12,12
bare,Bare,12,12
bass,Bass,12,12
beak,Beak,12,12
bit,Bit,12,12
blanch,Blanch,12,12
blaze,Blaze,12,12
bone,Bone,12,12
brief,Brief,12,12
buckle,Buckle,12,12
buff,Buff,12,12
capital,Capital,12,12
chap,Chap,12,12
chapter,Chapter,12,12
character,Character,12,12
clean,Clean,12,12
collar,Collar,12,12
color,Color,12,12
composition,Composition,12,12
condition,Condition,12,12
crab,Crab,12,12
crescent,Crescent,12,12
crest,Crest,12,12
decline,Decline,12,12
deep,Deep,12,12
demand,Demand,12,12
direct,Direct,12,12
discourse,Discourse,12,12
distemper,Distemper,12,12
draff,Draff,12,12
dull,Dull,12,12
empty,Empty,12,12
equal,Equal,12,12
escape,Escape,12,12
false,FALSE,12,12
fare,Fare,12,12
father,Father,12,12
feel,Feel,12,12
fill,Fill,12,12
floor,Floor,12,12
foil,Foil,12,12
general,General,12,12
gill,Gill,12,12
glass,Glass,12,12
glut,Glut,12,12
grind,Grind,12,12
hammer,Hammer,12,12
heave,Heave,12,12
help,Help,12,12
home,Home,12,12
hunt,Hunt,12,12
indent,Indent,12,12
institute,Institute,12,12
jig,Jig,12,12
lash,Lash,12,12
leg,Leg,12,12
let,Let,12,12
lie,Lie,12,12
lower,Lower,12,12
master,Master,12,12
meet,Meet,12,12
mine,Mine,12,12
minute,Minute,12,12
nick,Nick,12,12
offset,Offset,12,12
old,Old,12,12
orb,Orb,12,12
pair,Pair,12,12
pallet,Pallet,12,12
panel,Panel,12,12
paper,Paper,12,12
party,Party,12,12
passage,Passage,12,12
pinch,Pinch,12,12
pink,Pink,12,12
plot,Plot,12,12
pug,Pug,12,12
question,Question,12,12
quick,Quick,12,12
quill,Quill,12,12
rear,Rear,12,12
reason,Reason,12,12
reclaim,Reclaim,12,12
recover,Recover,12,12
rent,Rent,12,12
representative,Representative,12,12
respect,Respect,12,12
rose,Rose,12,12
rove,Rove,12,12
running,Running,12,12
saw,Saw,12,12
school,School,12,12
sconce,Sconce,12,12
scratch,Scratch,12,12
seam,Seam,12,12
shape,Shape,12,12
ship,Ship,12,12
sling,Sling,12,12
slow,Slow,12,12
slug,Slug,12,12
so,So,12,12
sour,Sour,12,12
souse,Souse,12,12
spin,Spin,12,12
spindle,Spindle,12,12
spit,Spit,12,12
spoil,Spoil,12,12
spot,Spot,12,12
strap,Strap,12,12
stream,Stream,12,12
subscribe,Subscribe,12,12
suck,Suck,12,12
swim,Swim,12,12
tabernacle,Tabernacle,12,12
taint,Taint,12,12
test,Test,12,12
tight,Tight,12,12
timber,Timber,12,12
trace,Trace,12,12
tuck,Tuck,12,12
twine,Twine,12,12
wax,Wax,12,12
weed,Weed,12,12
weigh,Weigh,12,12
what,What,12,12
word,Word,12,12
abuse,Abuse,11,11
active,Active,11,11
apron,Apron,11,11
arch,Arch,11,11
art,Art,11,11
