epoch,train_loss,val_r1,val_r10,val_r100,val_median_rank,epoch_secs
1,5.351195,0.000000,0.000917,0.009740,8423.0,189.8
2,5.183562,0.000115,0.001719,0.016730,6053.0,179.2
3,5.067346,0.000229,0.002406,0.028303,4767.0,165.9
4,4.957662,0.000458,0.005156,0.038043,3928.0,194.8
5,4.837900,0.001260,0.009282,0.057293,3136.0,210.6
6,4.720532,0.000802,0.008365,0.064398,2673.0,211.0
7,4.599876,0.000917,0.010771,0.076544,2473.0,189.8
8,4.489217,0.001833,0.016386,0.094878,1972.0,160.6
9,4.388762,0.001719,0.015011,0.090982,2065.0,162.8
10,4.293347,0.001719,0.020511,0.099003,1882.0,161.8
11,4.203960,0.001948,0.019938,0.102670,1755.0,161.6
12,4.110702,0.003208,0.022803,0.113556,1575.0,159.3
13,4.042588,0.003208,0.022917,0.113899,1597.0,160.7
14,3.955684,0.002750,0.026126,0.122608,1425.0,163.9
15,3.891591,0.002521,0.024751,0.123639,1415.0,169.8
16,3.826005,0.004240,0.028303,0.132233,1321.0,173.4
17,3.751441,0.004813,0.030136,0.134296,1297.0,170.1
18,3.689653,0.006188,0.033345,0.136244,1280.0,168.9
19,3.641351,0.006073,0.033116,0.146327,1134.0,169.6
20,3.582727,0.004698,0.033689,0.141056,1229.0,171.8
21,3.526835,0.005500,0.035178,0.147015,1196.0,169.3
22,3.477553,0.007334,0.036897,0.151942,1186.0,168.7
23,3.434607,0.005729,0.033918,0.146442,1205.0,170.0
24,3.377893,0.007104,0.041022,0.165922,1106.0,168.7
25,3.339076,0.007448,0.040220,0.163745,1089.0,169.2
26,3.293090,0.007334,0.040220,0.163630,1067.0,169.7
27,3.242625,0.008136,0.044001,0.168787,1028.0,169.6
28,3.208740,0.009282,0.041824,0.165005,1087.0,170.4
29,3.165125,0.009511,0.045376,0.173370,988.0,169.3
30,3.126547,0.010313,0.048929,0.174058,971.0,178.7
