epoch,train_loss,val_r1,val_r10,val_r100,val_median_rank,epoch_secs
1,5.343125,0.000000,0.000688,0.009740,8961.0,22.1
2,5.170843,0.000115,0.002063,0.022459,5686.0,21.0
3,5.054623,0.000458,0.002750,0.030480,4736.0,21.3
4,4.931826,0.000458,0.005500,0.041939,3555.0,21.4
5,4.807574,0.000573,0.005042,0.044460,3361.0,22.1
6,4.696190,0.001146,0.007219,0.050762,2977.0,21.6
7,4.583375,0.001146,0.009969,0.065085,2524.0,21.5
8,4.475636,0.001604,0.014667,0.077690,2287.0,22.1
9,4.375232,0.001260,0.012490,0.083190,2103.0,21.6
10,4.275852,0.001833,0.015928,0.086857,2009.0,21.3
11,4.186672,0.002979,0.016501,0.095336,1853.0,22.2
12,4.095088,0.002750,0.020740,0.110347,1681.0,21.7
13,4.021770,0.002979,0.018105,0.114014,1510.0,21.9
14,3.940024,0.001719,0.019136,0.107826,1515.0,21.9
15,3.868908,0.001833,0.017876,0.111264,1495.0,21.5
16,3.799168,0.002635,0.020969,0.121004,1415.0,21.3
17,3.742462,0.002635,0.020167,0.127191,1346.0,22.5
18,3.678207,0.003896,0.021199,0.123066,1388.0,21.4
19,3.621358,0.003208,0.021199,0.125014,1313.0,21.5
20,3.562955,0.002750,0.022230,0.125129,1303.0,21.5
21,3.520835,0.002635,0.023605,0.127306,1278.0,21.9
22,3.459495,0.003208,0.022001,0.128910,1300.0,22.0
23,3.419392,0.002865,0.024407,0.128337,1226.0,21.6
24,3.371310,0.003667,0.026011,0.133952,1265.0,21.7
25,3.329313,0.002979,0.023605,0.132462,1240.0,21.4
26,3.288183,0.003094,0.023605,0.131087,1231.0,21.5
27,3.236481,0.002292,0.024751,0.133265,1163.0,21.5
28,3.198082,0.003552,0.026011,0.139452,1182.0,21.2
29,3.162323,0.003323,0.025782,0.137390,1176.0,21.4
30,3.075048,0.003781,0.027386,0.137504,1211.0,21.7
